problem,seed,N,C,completion,cleared_fraction,virtual_time_s,time_per_clear_s,elapsed_s,path_length_m,measures,switches,clear_failures,probe_macros,macro_steps,decision_max_s,decision_p95_s,error,total_s,last_clear_s,last_discovery_s,tail_s,tail_fraction,last_discovery_to_end_s,discovered_by_6000,cleared_by_6000,all_found_by_6000,all_cleared_by_6000,all_done_5000_6000,tail_measures,tail_no_signal,after_6000_measures,after_6000_no_signal,discovered_total,cleared_total,all_move_s,all_measure_s,all_switch_s,all_clear_s,tail_move_s,tail_measure_s,tail_switch_s,tail_clear_s,after_6000_s,after_6000_tail_s,cost_accounting_error,absent_channel_measures,after_6000_absent_channel_measures,after_6000_clear_successes,after_6000_clear_failures,after6000_discovery_count,variant,overrides,scheduling_overrides,route_overrides,scenario_sha256
4,1712000000,10,10,True,1.0,9288.871534,928.8871534,0.13723231805488467,34989.357665866504,378,348,1,2,42,0.0034922626800835133,0.0027818587142974137,,9288.871534,6056.887185,1786.314961,3231.9843490000003,0.3479415488921327,7502.556573,10,9,True,False,False,110,110,110,110,10,10,6997.871534,1890.0,348.0,53.0,2582.9843490000003,550.0,99.0,0.0,3288.871534,3231.9843490000003,0.0,310,110,1,0,0,baseline,0,0,0,0972cdf7c19301781b65f7c1f16cd29c3cbae9f91d8da747b3bf85f620c63605
4,1712000000,10,10,True,1.0,9715.068467,971.5068466999999,0.1634138342924416,35775.34233176024,423,395,0,1,42,0.0037951511330902576,0.003326467704027888,,9715.068467,9715.068467,3472.388332,0.0,0.0,6242.680134999999,10,6,True,False,False,0,0,117,115,10,10,7155.068466999999,2115.0,395.0,50.0,0,0,0,0,3715.068466999999,0.0,0.0,310,108,4,0,0,route,8,0,8,0972cdf7c19301781b65f7c1f16cd29c3cbae9f91d8da747b3bf85f620c63605
4,1712000000,10,10,True,1.0,8894.20569,889.4205690000001,0.15433722687885165,32751.028430488997,387,356,1,3,42,0.003871158231049776,0.003091404447332024,,8894.20569,5916.286777,4345.279712,2977.9189130000004,0.334815611061048,4548.925978000001,10,10,True,True,False,110,110,104,104,10,10,6550.205690000001,1935.0,356.0,53.0,2328.9189130000004,550.0,99.0,0.0,2894.2056900000007,2894.2056900000007,0.0,310,104,0,0,0,schedule,2,2,0,0972cdf7c19301781b65f7c1f16cd29c3cbae9f91d8da747b3bf85f620c63605
4,1712000000,10,10,True,1.0,9187.584948,918.7584948,0.18175180908292532,33137.92473391947,423,395,0,1,42,0.004083407111465931,0.0038050571223720874,,9187.584948,8032.705502,3472.388332,1154.879446,0.12570000196312742,5715.196615999999,10,7,True,False,False,40,40,123,121,10,10,6627.584948,2115.0,395.0,50.0,918.8794459999999,200.0,36.0,0.0,3187.5849479999997,1154.879446,0.0,310,114,3,0,0,combined,8,1,7,0972cdf7c19301781b65f7c1f16cd29c3cbae9f91d8da747b3bf85f620c63605
4,1712000001,16,16,True,1.0,10058.111087,628.6319429375,0.34391254372894764,36910.555544960516,330,295,217,8,58,0.013934134971350431,0.004869589116424317,,10058.111087,10058.111087,5167.7817,0.0,0.0,4890.329387,16,9,True,False,False,0,0,33,32,16,16,7382.111086999999,1650.0,295.0,731.0,0,0,0,0,4058.1110869999993,0.0,0.0,68,0,7,191,0,baseline,0,0,0,90c3c0a8dd8d1d963e23b2d0c8d224a335ad3e73ccbc775277880f8a1a29e1ea
4,1712000001,16,16,True,1.0,9423.99108,588.9994425,0.23727189702913165,34744.95534323783,379,353,49,6,48,0.0158699881285429,0.0029400996165350078,,9423.99108,9423.99108,8321.698017,0.0,0.0,1102.2930629999992,12,7,False,False,False,0,0,76,66,16,16,6948.99108,1895.0,353.0,227.0,0,0,0,0,3423.99108,0.0,0.0,96,24,9,48,4,route,7,0,7,90c3c0a8dd8d1d963e23b2d0c8d224a335ad3e73ccbc775277880f8a1a29e1ea
4,1712000001,16,16,True,1.0,10103.374579,631.4609111875,0.46933447290211916,37136.87300085961,330,295,217,8,58,0.03150968672707677,0.005295887100510292,,10103.374579,10103.374579,5275.829226,0.0,0.0,4827.5453529999995,16,9,True,False,False,0,0,33,32,16,16,7427.374578999999,1650.0,295.0,731.0,0,0,0,0,4103.374578999999,0.0,0.0,68,0,7,193,0,schedule,1,1,0,90c3c0a8dd8d1d963e23b2d0c8d224a335ad3e73ccbc775277880f8a1a29e1ea
4,1712000001,16,16,True,1.0,9405.001955,587.8126221875,0.21941260900348425,34580.00971351539,378,351,56,7,48,0.013288797810673714,0.003131108637899159,,9405.001955,9405.001955,8302.708892,0.0,0.0,1102.2930629999992,12,7,False,False,False,0,0,75,66,16,16,6916.001955,1890.0,351.0,248.0,0,0,0,0,3405.0019549999997,0.0,0.0,96,24,9,55,4,combined,8,1,7,90c3c0a8dd8d1d963e23b2d0c8d224a335ad3e73ccbc775277880f8a1a29e1ea
4,1712000002,15,15,True,1.0,8402.579685,560.1719790000001,0.1742852502502501,35022.898430634974,224,194,3,3,47,0.010154454037547112,0.003099145274609327,,8402.579685,5041.582136,688.298262,3360.9975490000006,0.3999959149450185,7714.281423,15,15,True,True,False,70,70,55,55,15,15,7004.579685000001,1120.0,194.0,84.0,2954.9975490000006,350.0,56.0,0.0,2402.5796850000006,2402.5796850000006,0.0,155,55,0,0,0,baseline,0,0,0,fa2a1e55c8bddaf2596a819a0a9fb52d7352b55ebdb2e672c4294fdbf9f3a5af
4,1712000002,15,15,True,1.0,8404.389931,560.2926620666666,0.190556975081563,34846.94965966175,230,201,3,3,47,0.010096708312630653,0.0034025977831333874,,8404.389931,7500.934169,688.298262,903.4557619999996,0.10749807772097285,7716.0916689999995,15,14,True,False,False,20,20,56,55,15,15,6969.389931,1150.0,201.0,84.0,787.4557619999996,100.0,16.0,0.0,2404.3899309999997,903.4557619999996,0.0,155,50,1,1,0,route,6,0,6,fa2a1e55c8bddaf2596a819a0a9fb52d7352b55ebdb2e672c4294fdbf9f3a5af
4,1712000002,15,15,True,1.0,8789.72495,585.9816633333334,0.175853599794209,36673.62474272832,233,203,4,3,47,0.009877234697341919,0.0039572632871568165,,8789.72495,6086.698841,837.75306,2703.0261089999995,0.3075211254477308,7951.97189,15,14,True,False,False,50,50,50,50,15,15,7334.72495,1165.0,203.0,87.0,2413.0261089999995,250.0,40.0,0.0,2789.72495,2703.0261089999995,0.0,155,50,1,2,0,schedule,5,5,0,fa2a1e55c8bddaf2596a819a0a9fb52d7352b55ebdb2e672c4294fdbf9f3a5af
4,1712000002,15,15,True,1.0,8367.577959,557.8385306,0.17808202002197504,35402.88979053107,205,175,4,3,47,0.00940951518714428,0.0030618188437074416,,8367.577959,2774.178069,837.75306,5593.399890000001,0.6684610430170956,7529.824899,15,15,True,True,False,120,120,55,55,15,15,7080.577959,1025.0,175.0,87.0,4897.399890000001,600.0,96.0,0.0,2367.577959,2367.577959,0.0,155,55,0,0,0,combined,18,5,13,fa2a1e55c8bddaf2596a819a0a9fb52d7352b55ebdb2e672c4294fdbf9f3a5af
4,1712000003,14,14,True,1.0,10255.464887,732.5332062142858,0.2431013328023255,38017.3244343211,435,404,1,9,46,0.008328984957188368,0.005999464308843017,,10255.464887,9664.909756,7876.6839,590.555131000001,0.05758443303224592,2378.780987,11,8,False,False,False,12,12,124,113,14,14,7603.464887,2175.0,404.0,73.0,520.555131000001,60.0,10.0,0.0,4255.464887,590.555131000001,0.0,186,84,6,0,3,baseline,0,0,0,e6b4f26960003b30ae838d5193f21382d3b2edc69a3b01784f884411d0223e18
4,1712000003,14,14,True,1.0,11038.800603,788.4857573571428,0.2512057381682098,41254.003013114954,458,428,0,10,46,0.007740733679383993,0.006030305870808661,,11038.800603,10795.517297,9512.788572,243.28330599999936,0.02203892567222227,1526.0120310000002,8,3,False,False,False,6,6,118,101,14,14,8250.800603,2290.0,428.0,70.0,208.28330599999936,30.0,5.0,0.0,5038.800603,243.28330599999936,0.0,186,72,11,0,6,route,8,0,8,e6b4f26960003b30ae838d5193f21382d3b2edc69a3b01784f884411d0223e18
4,1712000003,14,14,True,1.0,10083.177194,720.2269424285714,0.19177804607897997,37155.88596873854,435,404,1,9,46,0.006105037871748209,0.004183188662864268,,10083.177194,9604.076666,8097.932152,479.10052799999903,0.04751483771257021,1985.2450419999996,11,8,False,False,False,12,12,124,113,14,14,7431.177194,2175.0,404.0,73.0,409.10052799999903,60.0,10.0,0.0,4083.177194,479.10052799999903,0.0,186,84,6,0,3,schedule,1,1,0,e6b4f26960003b30ae838d5193f21382d3b2edc69a3b01784f884411d0223e18
4,1712000003,14,14,True,1.0,10748.198888,767.7284920000001,0.24702475033700466,39800.994440440525,458,428,0,10,46,0.008188493549823761,0.006638725521042943,,10748.198888,10504.915582,9222.186857,243.28330600000118,0.022634797563303256,1526.0120310000002,8,4,False,False,False,6,6,134,116,14,14,7960.198888000001,2290.0,428.0,70.0,208.28330600000118,30.0,5.0,0.0,4748.198888000001,243.28330600000118,0.0,186,78,10,0,6,combined,9,1,8,e6b4f26960003b30ae838d5193f21382d3b2edc69a3b01784f884411d0223e18
4,1712000004,12,12,True,1.0,11569.853755,964.1544795833333,0.2800603611394763,42809.269015643404,443,412,107,4,48,0.022226412314921618,0.0032952839275822033,,11569.853755,11569.853755,2897.327568,0.0,0.0,8672.526187,12,5,True,False,False,0,0,120,118,12,12,8561.853755,2215.0,412.0,381.0,0,0,0,0,5569.853755,0.0,0.0,248,87,7,107,0,baseline,0,0,0,972bd5a24a5a666e5b35231601e13ae2ef8c378a1e9b7d31e31a1898d5941109
4,1712000004,12,12,True,1.0,11733.926737,977.8272280833334,0.30238923290744424,43539.63392665539,446,415,107,4,48,0.02347357803955674,0.0038259320892393587,,11733.926737,11733.926737,7033.335456,0.0,0.0,4700.591281,11,7,False,False,False,0,0,152,147,12,12,8707.926737,2230.0,415.0,381.0,0,0,0,0,5733.926737,0.0,0.0,248,112,5,107,1,route,8,0,8,972bd5a24a5a666e5b35231601e13ae2ef8c378a1e9b7d31e31a1898d5941109
4,1712000004,12,12,True,1.0,11676.010017,973.0008347500001,0.2624745820648968,43325.050326374745,443,412,108,4,48,0.01907968195155263,0.0029863697709515686,,11676.010017,11676.010017,2963.228726,0.0,0.0,8712.781291000001,12,6,True,False,False,0,0,122,120,12,12,8665.010017,2215.0,412.0,384.0,0,0,0,0,5676.0100170000005,0.0,0.0,248,88,6,108,0,schedule,1,1,0,972bd5a24a5a666e5b35231601e13ae2ef8c378a1e9b7d31e31a1898d5941109
4,1712000004,12,12,True,1.0,11590.512319,965.8760265833333,0.25359229603782296,42407.56183776697,460,428,107,4,48,0.018632681109011173,0.0030144508462399246,,11590.512319,11590.512319,8250.258159,0.0,0.0,3340.2541599999986,8,5,False,False,False,0,0,151,140,12,12,8481.512319,2300.0,428.0,381.0,0,0,0,0,5590.5123189999995,0.0,0.0,248,104,7,107,4,combined,10,3,7,972bd5a24a5a666e5b35231601e13ae2ef8c378a1e9b7d31e31a1898d5941109
4,1712000005,13,13,True,1.0,9238.068645,710.6206649999999,0.182607710827142,34525.34322451613,382,352,2,3,45,0.00834591779857874,0.0043498480692505835,,9238.068645,6239.249009,1967.0,2998.8196359999993,0.32461543112943597,7271.068644999999,13,12,True,False,False,70,70,77,77,13,13,6905.068644999999,1910.0,352.0,71.0,2588.8196359999993,350.0,60.0,0.0,3238.0686449999994,2998.8196359999993,0.0,217,77,1,0,0,baseline,0,0,0,271b08c05a4bc3913ecdedc71008aa558e8f9739125edb48d5d8b72e5b3b5a50
4,1712000005,13,13,True,1.0,9256.468663,712.0360509999999,0.17005286226049066,33582.34329711303,415,385,5,6,45,0.004582192748785019,0.0036760736256837845,,9256.468663,7283.644689,6920.604769,1972.823974,0.21312922301414808,2335.863894,11,9,False,False,False,49,49,96,88,13,13,6716.468663,2075.0,385.0,80.0,1685.823974,245.0,42.0,0.0,3256.4686629999997,1972.823974,0.0,217,84,4,1,2,route,7,0,7,271b08c05a4bc3913ecdedc71008aa558e8f9739125edb48d5d8b72e5b3b5a50
4,1712000005,13,13,True,1.0,9238.068645,710.6206649999999,0.18299216497689486,34525.34322451613,382,352,2,3,45,0.00810854509472847,0.004424395412206649,,9238.068645,6239.249009,1967.0,2998.8196359999993,0.32461543112943597,7271.068644999999,13,12,True,False,False,70,70,77,77,13,13,6905.068644999999,1910.0,352.0,71.0,2588.8196359999993,350.0,60.0,0.0,3238.0686449999994,2998.8196359999993,0.0,217,77,1,0,0,schedule,0,0,0,271b08c05a4bc3913ecdedc71008aa558e8f9739125edb48d5d8b72e5b3b5a50
4,1712000005,13,13,True,1.0,9256.468663,712.0360509999999,0.17817532317712903,33582.34329711303,415,385,5,6,45,0.004437662195414305,0.0038575598970055575,,9256.468663,7283.644689,6920.604769,1972.823974,0.21312922301414808,2335.863894,11,9,False,False,False,49,49,96,88,13,13,6716.468663,2075.0,385.0,80.0,1685.823974,245.0,42.0,0.0,3256.4686629999997,1972.823974,0.0,217,84,4,1,2,combined,7,0,7,271b08c05a4bc3913ecdedc71008aa558e8f9739125edb48d5d8b72e5b3b5a50
